permission_id,street,post_code,prim_add_obj_name
149016,WOODCOTE ROAD,SM6 0PU,77
151893,CHEAM COMMON ROAD,KT4 8RD,54
173687,Harrow Road,NW10 5NH,845 - 847
179650,Tantallon road,SW12 8DH,66
173452,Garratt Lane,SW18 4SW,507
149063,LONDON ROAD,SM3 9DL,711 to 715
196988,Wolseley Road,N8 8RR,3C
148831,Palace Court,W2 4HZ,"Esca House, 32"
161749,Battersea Park Road,SW11 4LS,341
198494,Northcote Road,SW11 6PL,95
175593,Balham High Road,SW12 9BP,186-188
151914,GREEN WRYTHE LANE,SM5 4PQ,118
148960,ERSKINE ROAD,SM1 3AT,47
212711,Sleaford Street,SW8 5AB,Sleaford Industrial Est & Dairy Crest Milk Distribution Depo
149470,Merton Road,SW18 5EQ,145 Priscilla House 143-149
184089,Greenwich South Street,SE10 8PW,65
186348,Haggard Road,TW1 3AF,12
165668,Brendon Street,W1H 5HE,40-42
182048,Finchley Road,NW3 6EP,317
174889,Bemish Road,SW15 1DG,28
173416,Ritherdon Road,SW17 8QQ,100
168850,ROYAL OAK YARD,SE1 3GD,"UNIT 2, THE GLASS HOUSE, 3"
154299,Lansdown Road,DA14 4EF,"7,9,11 and 13"
208952,Marsh Lane,NW7 4NT,"Haylands,66"
182891,CHISWICK HIGH ROAD,W4 2DR,171
195428,Lordship Lane,N17 6XF,175
152470,Palmar Road,DA7 4LJ,16B
151598,Greenford Road,UB6 0HL,1334
332420,Clapham common North Side,SW4 9RU,Eaton House School 58
148915,Airthrie Road,IG3 9QT,5
148692,Launceston Road,UB6 7EU,44
149398,Coate Street,E2 8PP,25
196588,Compton Crescent,N17 7LB,53
157329,Russell Hill,CR8 2JA,32
208960,Cedar Lawn Avenue,EN5 2LP,Land To Rear Of 85 & 87
195208,St Pauls Road,N17 0NJ,4
155133,Camden Park Road,BR7 5HG,20
195368,Park View Gardens,N22 5SH,5A
195468,Park Lane,N17 0HN,147
151684,Thornet Wood Road,BR1 2LN,1
150291,The Vale,W3 7QS,259
198906,Wimbledon Park Road,SW19 6NS,329
150338,Fulbourne Road,E17 4HD,209
157373,Sydenham Road,CR0 2EE,Cygnet House 12-14
205182,Hanover Road,NW10 3DJ,11
151191,Southdown Road,RM11 1LY,adj 65
149262,Tile Kiln Lane,N13 6BD,"Oakthorpe Court, 24"
192212,Carlyle Road,E12 6BS,127
154271,Endymion Road,N4 1EE,21
210443,Blackstock Road  London,N4 2JS,169
156395,Wellington Avenue,DA15 9HG,11
149610,Bengeworth Road,SE5 9AJ,54
149184,Bedford Park,CR9 2ZL,Exchange Court
173268,Bruton Place,W1J 6PD,46
201596,London Road,TW7 4DS,Grove House 551
149596,Meredith Tower and Galsworthy Court Bollo Bridge Road,W3 8QS,"South Acton Estate Ph5 Conrad Tower, Carroll Court"
184092,Bostall Park Avenue,DA7 5JS,76
148219,Glenparke Road,E7 8BP,19
200903,Kingsland Road,E8 4AA,410-412
149187,Epsom Road,CR0 4PY,134
223308,Pretoria Road,IG1 2HW,102
256876,Audley Road,NW4 3HG,130
170748,St James Road,TW12 1DH,23
176908,Aldermans Hill,N13 4PN,38
149579,Woodfield Road,TW4 6NN,Ryder House 1
255163,Larkspur Grove,HA8 9GF,Land Adjacent To Aster Court
183835,Maryon Road,SE7 8DA,47
154564,SOUTHWARK STREET,SE1 0JF,103-109
256300,Leicester Road,EN5 5EW,Land between 39 and 43 and to the rear of 35-39
152849,Bayham Street,NW1 0ER,1
148953,DEMESNE ROAD,SM6 8PP,58
169708,St John's Road,TW7 6NL,67 Capital House
151348,"LORDSHIP LANE,",SE22 8LZ,332
149255,Alpha Road,N18 2RL,22A
151497,Huxley Road,E10 5QY,150a
152387,Shrewsbury Road,E7 8QB,142
158096,Kingwell Road,EN1 2EU,27
168960,Priory Lane,SW15 5RT,Paddock School
154552,Mill lane,NW6 1NL,82
177578,Wandsworth Bridge Road,SW6 2UH,150
166228,LONDON ROAD,SM6 7EA,204
158081,Bullsmoor Lane,EN1 4DA,168
154683,Church Path,W4 5BJ,78
256887,Church Crescent,N3 1BL,43
155551,Green Lanes,N8 0RY,600
158138,Church Street,N13 4LL,34
149372,Dunstable Road,TW9,26B
152332,Southampton Street,WC2E 7QG,20
152517,Longacre Road,E17 4DT,42
256891,Cotswold Gardens,NW2 1PG,76
200707,Fernside Avenue,TW13 7QE,Rectory Court
182528,Norbiton Common Road,KT1 3QB,10
184055,Nursery Avenue,DA7 4LA,Land adjacent 74-76
182168,Camden High Street,NW1 7BU,239
151821,Ormiston Grove,W12 0JS,76
273028,Cottenham Park Road,SW20 0DW,143
188172,Ribblesdale Road,SW16 6SR,98a
158108,Park Road,EN1 1RT,Land Use For Storage
201649,Staines Road,TW3 3JB,155-159
183888,Worple Way,TW10 6DF,52
